,scholar_indx,name,grade,birth_date_place,death_date_place,birth_place,birth_date,birth_date_hijri,birth_date_gregorian,death_date_hijri,death_date_gregorian,death_place,death_reason,Father,Mother,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,sibling1,siblings2,siblings3,siblings4,siblings5,siblings6,siblings7,siblings8,siblings9,siblings10,siblings11,placeStay1,placeStay2,placeStay3,placeStay4,placeStay5,teachers1,teachers2,teachers3,teachers4,teachers5,teachers6,teachers7,teachers8,teachers9,teachers10,teachers11,teachers12,teachers13,teachers14,teachers15,teachers16,teachers17,teachers18,teachers19,teachers20,teachers21,teachers22,teachers23,teachers24,students1,students2,students3,students4,students5,students6,students7,students8,students9,students10,students11,students12,students13,students14,students15,students16,students17,students18,students19,students20,students21,students22,students23,students24,area_of_interest1,area_of_interest2,area_of_interest3,area_of_interest4,area_of_interest5,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,book1,book2,book3,book4,book5,book6,book7,book8,tbook9,book10,book11,book12,book13,tbook14,book15,book16
2361,10938,Abu 'Abdur Rahman al-Habli ,Follower(Tabi') [3rd Generation],,100 AH (Africa)[ Natural ],,,,,100,,Africa,Natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Egypt, Africa,,,,'Abdullah bin 'Amr bin al-'Aas [29] , ibn Umar [18] , 'Uqba bin 'Amir al-Juhayni [189] , Abu Dharr al-Ghaffari [23] , Fadala bin 'Ubaid bin Naqid [1935] , Amarh bin Shbyb [5198] , Abu Ayyub al-Ansari [33] , al-Mustward bin Shadad [2904] , Abu Sa'id al-Khudri [38] , Jabir ibn 'Abdullah [34] , Others,,,,,,,,,,,,,,Hameed bin Han'i Abu [10856] , Zuhrah bin Ma'bad bin 'Abdullah [11507] , Shrhbyl bin Shryk al-Ma'afry [10862] , 'Uqba bin Muslim al-Tajaybi [16076] , 'Abdur Rahman bin Ziyad [28326] , Rabi'ya bin Syf bin Mat' [18277] , Yazid bin 'Amr al-Ma'afry [16117] , Hayy bin Hani' Abu Qabayl [16023],,,,,,,,,,,,,,,,,Narrator,,,,,al-Ma'fari [al-Ma'fari] , al-Habli [al-Habli] , al-Masri [al-Masri],,,,,,,,,,,,,,,,,,,,,,,,
2362,10984,Ya'qub bin 'Abdullah bin Abi Talha ,Follower(Tabi') [4th generation],(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,'Abdullah bin Abi Talha [422],,,,,,,,,,,,,,,,,,,,,,,,,,Ishaq bin 'Abdullah bin Abi Talha [11151] , Isma'il bin 'Abdullah bin Abi Talha [12015] , 'Abdullah bin 'Abdullah bin Abi Talha [11868] , 'Amr bin 'Abdullah bin Abi Talha [10603],,,,,,,,Medina,,,,,Anas bin Malik [19],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Narrator,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.Malik B.al-Najjar [B.Malik%20B.al-Najjar] , Madni [Madni],,,,,,,,,,,,,,,,,,,,,,,
2363,11001,Abu Hanifa ,Follower(Tabi') [6th generation],"80 AH/699 CE (Kufa, Iraq)",150 AH/767 CE (Baghdad)[ Natural ],"Kufa, Iraq","['80 AH', '699 CE']",80,699,150,767,Baghdad,Natural,Thabit bin Zuta,,,,,,,,,,,,,,Hammad,,,,,,,,,,,,,,,,,,,,,,,Kufa,  Baghdad,,,,'Ata' bin Abi Rabah [11029] , 'Asim bin Abu al-Najud (Bahdla) [11358] , 'Alqama bin Mrthd [11374] , Hmad bin Abi Sulaiman [10756] , al-Hakam bin 'Utayba [11069] , Salmah bin Kahayl al-Hadrami [11350] , Muhammad bin 'Ali b. al-Hussain al-Baqir [11442] , 'Ali bin al-Aqmar bin 'Amr [11375] , Ziyad bin 'Alaqa [11339] , Sa'id bin Masrooq Ath-Thawri [20016] , Ady bin Thabit al-Ansari [11372] , Atyh bin Sa'd bin Jnad'h [15373] , Tryf bin Shhab [14190] , 'Abdul Karim bin Abi al-Mukharaq [10648] , Yahya bin Sa'id al-Ansari [11062] , Hisham bin 'Urwa [11065],,,,,,,,,son, Ibrahim bin Tahman [20187] , Hamza bin Habib al-Zayat [20583] , Zufr bin al-Hadhayl bin Qays [21262] , Imam Abu Yusuf [20003] , 'Abdul Hameed bin 'Abdur Rahman al-Haman [20332] , 'Isa bin Yonus bin Abi Ishaq [20347] , Waki' bin al-Jarrah [20032] , Yazid bin Zari' [20304] , Asad bin 'Amr Abu al-Mndhr [27385] , Hkam bin Slm [20649] , Kharjh bin Mus'ab bin Kharjh [28147] , 'Abdul Majeed bin 'Abdul 'Aziz [20660] , 'Ali bin Ms'hr [20345] , Muhammad bin Bashr bin al-Farafsa [20352] , 'Abdur-Razzaq [20121] , Imam Muhammad [20004] , Mus'ab bin al-Mqdam al-Khth'my [20608] , Yahya bin Yaman al-Jly [20617] , Nwh bin Abi Maryam [28607] , 'Abdullah bin Yazid al-'Advi [23033] , al-Dahhak bin Mukhlad Abu 'Asim al-Nabil [20241],,,Fiqh, Recitation/Quran, Hadith, Narrator,,Merchent [Merchent] , Client [Client] , Kufi [Kufi] , Imam [Imam],,,,,,,,Fiqh al-Akbar [1] , kitab ul Aasaar [3000032] [ Add [11001] ],,,,,,,,,,,,,,
2364,11003,Abu Bakr bin 'Abdur Rahman ,Follower(Tabi') [3rd Generation],~16 AH/639 CE (Medinah),94 AH/715 CE (Medinah)[ Natural ],Medinah,"['16 AH', '639 CE']",16,639,94,715,Medinah,Natural,'Abdur Rahman ibn al-Harith [448],Fakhtah bint 'Unba bin Suhayl bin 'Amr,Sara bint Hisham Mukhzumi, Qurayba bint 'Abdullah Asadi, Ramisha bint Walid,,,,,,,,,,'Abdullah bin Abi Bakr bin 'Abdur Rahman [12204] , 'Abdur Rahman bin Abi Bakr al-Mulaiki [22114] , 'Abdul Malik bin Abi Bakr bin 'AR [11198] , Hisham, Suhyal, al-Harith bin Abi Bakr [21697] , Maryam, Abu Salama, 'Umar bin Abi Bakr [12382] , Fatima,,,Ikramah bin 'Abdur Rahman [11030] , Muhammad bin 'Abdur Rahman [11031] , 'Umar bin 'Abdur Rahman bin al-Harith [11032] , Abu Sa'id bin 'Abdur Rahman [11033] , al-Mughira bin 'Abdur Rahman [11034],,,,,,,Medinah,,,,,'Abdur Rahman ibn al-Harith [448] , 'Aisha bint Abi Bakr [53] , Umm Salamah [56] , Abu Hurairah [13] , 'Ammar ibn Yasir [25] , Asma bint 'Umays [69] , Marwan bin al-Hakam bin Abi al-'As [858] , Nawfal bin Mu'awiyah al-Dayli [43] , Umm Ma'qil al-Asadiyya [3185] , 'Abdur Rahman bin Muti' bin al-Aswad [11820] , Abu Mas'ud al-Badri [402] , others,,,,,,,,,,,,,'Abdullah bin Abi Bakr bin 'Abdur Rahman [12204] , 'Abdur Rahman bin Abi Bakr al-Mulaiki [22114] , 'Abdul Malik bin Abi Bakr bin 'AR [11198] , 'Umar bin Abi Bakr [12382] , al-Zuhri [11013] , 'Umar bin ,,,,,,,,,,,,,,,,,,,Narrator,,,,,Quraish [Quraish] , B.Makhzum [B.Makhzum] , al-Madni [al-Madni] , Seven Fuqaha [Seven%20Fuqaha],,,,,,,,,,,,,,,,,,,,,,,
2365,11004,'Ubaydullah bin 'Abdullah bin 'Utba ,Follower(Tabi') [3rd Generation],~16 AH/639 CE (Medinah),94 AH/715 CE or 97 AH (Medinah)[ Natural ],Medinah,"['16 AH', '639 CE']",16,639,94,715,Medinah,Natural,'Abdullah bin 'Utba [4145],Umm Walad,,,,,,,,,,,,,,,,,,,,,,,,,Hamza bin 'Abdullah bin 'Utba [13931] , 'Awn bin 'Abdullah bin 'Utba [10806] , Najiya bin 'Abdullah bin 'Utba [22688],,,,,,,,,Medinah,,,,,'Abdullah bin 'Utba [4145] , ,,,,,,,,,,,,,,,,,,,,,,,'Awn bin 'Abdullah bin 'Utba [10806] , al-Zuhri [11013] , Sa'd bin Ibrahim [11063] , Abu al-Zanad [11061] , Salah bin Kaysan al-Madni [11176] , 'Arak bin Malik [11204] , Musa bin Abi Aa'isha [11399] , Abu Bakr bin Abi al-Jhm [13389] , Dmrh bin Sa'id bin Aby [11861] , Talha bin Yahya bin Talha [11863] , 'Abdullah bin 'Ubaida bin Nashayt [11698] , 'Abdullah bin 'Ubaida bin Nashayt [11698] , 'Abdul Majeed bin Sahl bin 'Abdur Rahman [11705] , Khsyf bin 'Abdur Rahman al-Jzry [19908],,,,,,,,,,,Narrator,,,,,Quraish [Quraish] , al- Hadhli [al-%20Hadhli] , A'imi [A'imi] , Madni [Madni] , Seven Fuqaha [Seven%20Fuqaha] , Imam [Imam],,,,,,,,,,,,,,,,,,,,,
2366,11005,Sulayman ibn Yasar ,Follower(Tabi') [3rd Generation],34 AH (Medinah),103 AH or 107 AH (Medinah)[ Natural ],Medinah,['34 AH'],34,,103,,Medinah,Natural,,,,,,,,,,,,,,,,,,,,,,,,,,,'Ata ibn Yasar [11020] , 'Abdullah ibn Yasar [11021] , 'Abdul Malik ibn Yasar [11022],,,,,,,,,Medinah,,,,,Maymuna bint al-Harith [61] , Umm Salamah [56] , 'Aisha bint Abi Bakr [53] , Fatima bint Qays [224] , Hamza bin 'Amr al-Aslami [4123] , Zayd ibn Thabit [49] , ibn Abbas [17] , ibn Umar [18] , Jabir ibn 'Abdullah [34] , ibn Abbas [17] , al-Miqdad ibn al-Aswad [163] , Abu Sa'id al-Khudri [38] , Abu Hurairah [13] , ar-Rubbayi' bint Mu'awwidh bin 'Afra' [617] , Salmah bin Skhr bin Salman [5069] , Fadl ibn al-'Abbas [135] , 'Abdullah ibn Hudhafah as-Sahmi [204] , Ja'far bin 'Amr bin Umayya [11501] , 'Abdullah ibn al-Harith ibn Nawfal [912] , 'Abdur Rahman bin Jabir bin 'Abdullah [11192] , 'Arak bin Malik [11204] , Malik bin Abi 'Amir [11443] , 'Umarh bint 'Abdur Rahman [11455] , Others,'Amr bin Dinar [11081] , 'Abdullah bin Dinar [11183] , 'Abdullah bin al-Fadl [11187] , Abu al-Zanad [11061] , Bukayr bin 'Abdullah bin al-Ashj [11154] , Ja'far bin 'Abdullah [11833] , Salm Abi al-Nadr [11164] , Salah bin Kaysan al-Madni [11176] , 'Amr bin Maymun al-Aw'di [11382] , Muhammad bin Abi Harmala [11535] , al-Zuhri [11013] , Makhul al-Shami/al-Damashiqi [11066] , Nafie' [11014] , Yahya bin Sa'id al-Ansari [11062] , Y'la bin Hkym al-Thqfy [11567] , Yonus bin Syf [19199],,,,,,,,,Narrator,,,,,Client [Client] , Madni [Madni] , Seven Fuqaha [Seven%20Fuqaha] , Imam [Imam],,,,,,,,,,,,,,,,,,,,,,,
2367,11006,Kharija ibn Zayd ibn Thabit ,Follower(Tabi') [3rd Generation],~30 AH/650 CE (Medinah),99 AH/719 CE or 100 AH (Medinah)[ Natural ],Medinah,"['30 AH', '650 CE']",30,650,99,719,Medinah,Natural,Zayd ibn Thabit [49],Jamila bint Sa'd ibn ar-Rabi' [214],Umm 'Amr bint Hizm from B.Malik b. al-Najjar,,,,,,,,,,,,Sulaiman bin Kharjh bin Zayd [12158] , 'Abdur Rahman bin Kharjh bin Zayd [21835] , Zayd, 'Umar, 'Abdullah bin Kharjh bin Zayd [21808] , Muhammad, Habiba, Hamida, Umm Yahya, Umm Suliaman,,,Sa'd ibn Zayd ibn Thabit [11025] , Suliaman ibn Zayd ibn Thabit [11007] , Yahya ibn Zayd ibn Thabit [11008] , Isma'il ibn Zayd ibn Thabit [11009] , Saleet bin Zayd Ibn Thabit [11800] , 'Abdur Rahman bin Zayd Ibn Thabit [11801] , 'Abdullah bin Zayd Ibn Thabit [11802] , Zayd bin Zayd Ibn Thabit [11803],,,,Medinah,,,,,Zayd ibn Thabit [49] , Suliaman ibn Zayd ibn Thabit [11007] , Sahl bin Sa'd bin Malik [399] , Usamah ibn Zayd [50] , Jamila bint Sa'd ibn ar-Rabi' [214] , 'Abdur Rahman bin Abi 'Amra [1238] , Umm al-'Ala' al-Ansariyya [1294],,,,,,,,,,,,,,,,,,Sulaiman bin Kharjh bin Zayd [12158] , Sa'id bin Sulaiman bin Zayd [12134] , 'Abdullah bin 'Amr bin 'Uthman [10933] , Muhammad bin 'Abdullah bin 'Amr [22187] , Mjald bin Awf [13553] , Abu al-Zanad [11061] , al-Zuhri [11013] , 'Uthman bin Hakeem bin 'Aabad [11889] , al-Muttalib bin 'Abdullah bin Hantab [19944] , Yazid bin 'Abdullah bin Qasayt [11236] , others,,,,,,,,,,,,,,Narrator,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.Malik B.al-Najjar [B.Malik%20B.al-Najjar] , Madni [Madni] , Seven Fuqaha [Seven%20Fuqaha] , Imam [Imam],,,,,,,,,,,,,,,,,,,,,
2368,11007,Suliaman ibn Zayd ibn Thabit ,Follower(Tabi') [3rd Generation],(Medinah),63 AH/683 CE (Medinah)[ Killed(al-Harrah) ],Medinah,[],,,63,683,"Medinah, al-Harrah",,Zayd ibn Thabit [49],Jamila bint Sa'd ibn ar-Rabi' [214],Umm Hamid bint 'Abdullah b. Qays from B.'Ady b.al-Najjar,,,,,,,,,,,,Sa'id bin Sulaiman bin Zayd [12134] , Hamid, Muhammad, 'Abdullah bin Suliaman bin Zayd [12782],,,,,,,,,Sa'd ibn Zayd ibn Thabit [11025] , Kharija ibn Zayd ibn Thabit [11006] , Yahya ibn Zayd ibn Thabit [11008] , Isma'il ibn Zayd ibn Thabit [11009] , Saleet bin Zayd Ibn Thabit [11800] , 'Abdur Rahman bin Zayd Ibn Thabit [11801] , 'Abdullah bin Zayd Ibn Thabit [11802] , Zayd bin Zayd Ibn Thabit [11803],,,,Medinah,,,,,Zayd ibn Thabit [49],,,,,,,,,,,,,,,,,,,,,,,,Sa'id bin Sulaiman bin Zayd [12134] , 'Abbas bin Sahl bin Sa'd [11697],,,,,,,,,,,,,,,,,,,,,,,Narrator,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.Malik B.al-Najjar [B.Malik%20B.al-Najjar] , Madni [Madni],,,,,,,,,,,,,,,,,,,,,,,
2369,11008,Yahya ibn Zayd ibn Thabit ,Follower(Tabi'),(Medinah),63 AH/683 CE (Medinah)[ Killed(al-Harrah) ],Medinah,[],,,63,683,"Medinah, al-Harrah",,Zayd ibn Thabit [49],Jamila bint Sa'd ibn ar-Rabi' [214],Bisama bint 'Ammarah b. Zayd from B.Malik b.al-Najjar,,,,,,,,,,,,Zakaria, Ibrahim,,,,,,,,,,,Sa'd ibn Zayd ibn Thabit [11025] , Kharija ibn Zayd ibn Thabit [11006] , Suliaman ibn Zayd ibn Thabit [11007] , Isma'il ibn Zayd ibn Thabit [11009] , Saleet bin Zayd Ibn Thabit [11800] , 'Abdur Rahman bin Zayd Ibn Thabit [11801] , 'Abdullah bin Zayd Ibn Thabit [11802] , Zayd bin Zayd Ibn Thabit [11803],,,,Medinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Narrator,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.Malik B.al-Najjar [B.Malik%20B.al-Najjar] , Madni [Madni],,,,,,,,,,,,,,,,,,,,,,,
2370,11009,Isma'il ibn Zayd ibn Thabit ,Follower(Tabi'),(Medinah),(Medinah)[ Killed(al-Harrah) ],Medinah,[],,,,,"Medinah, al-Harrah",,Zayd ibn Thabit [49],Jamila bint Sa'd ibn ar-Rabi' [214],Umama bint Jaliha b. 'Ubada b. 'Abdullah, Maymuna bint Hilal of B.Hilal,,,,,,,,,,,Mus'ab, Sa'd,,,,,,,,,,,Sa'd ibn Zayd ibn Thabit [11025] , Kharija ibn Zayd ibn Thabit [11006] , Suliaman ibn Zayd ibn Thabit [11007] , Yahya ibn Zayd ibn Thabit [11008] , Saleet bin Zayd Ibn Thabit [11800] , 'Abdur Rahman bin Zayd Ibn Thabit [11801] , 'Abdullah bin Zayd Ibn Thabit [11802] , Zayd bin Zayd Ibn Thabit [11803],,,,Medinah,,,,,Zayd ibn Thabit [49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Narrator,,,,,Ansar [Ansar] , Khazraj [Khazraj] , B.Malik B.al-Najjar [B.Malik%20B.al-Najjar] , Madni [Madni],,,,,,,,,,,,,,,,,,,,,,,
2371,11011,Salim bin 'Abdullah bin 'Umar ,Follower(Tabi') [3rd Generation],~30 AH (Medina),~106 AH (Medina)[ Natural ],Medina,['30 AH'],30,,106,,Medina,Natural,ibn Umar [18],Umm Walad,Umm Hakam bint Yazid bin 'Abd Qays, Umm Walad, Umm Walad,,,,,,,,,,'Umar, Abu Bakr bin Salim b. 'Abdullah b. 'Umar [11118] , 'Abdullah, 'Asim, Ja'far, Hafsa, Fatima, 'Abdul Aziz, 'Ubdah,,,,'Ubaidullah bin 'Abdullah bin 'Umar [11817] , Hamza bin 'Abdullah bin 'Umar [11818] , Zayd bin 'Abdullah bin 'Umar [11819] , 'Abdullah bin 'Abdullah Ibn 'Umar [11814],,,,,,,,Medina,,,,,ibn Umar [18] , Abu Hurairah [13] , Abu Rafi' [479] , Abu Ayyub al-Ansari [33] , Zayd ibn al-Khattab [114] , ,,,,,,,,,,,,,,,,,,,Abu Bakr bin Salim b. 'Abdullah b. 'Umar [11118] , Abu Bakr bin Muhammad bin 'Amr bin Hazm [11239] , al-Zuhri [11013] , Salah bin Kaysan al-Madni [11176] , Hanzala bin Abi Sufyan bin 'Abdur Rahman [11243] , 'Ubaidullah bin 'Umar bin Hafs [11201] , 'Asim bin 'Ubaidullah [19808] , 'Abdullah bin Abi Bakr bin Muh. b. 'Amr [11104] , Abu Qalaba, 'Abdullah bin Zayd al-Jarmi [11047] , Hameed bin Abi Hameed [11279] , 'Umar bin Hamza bin 'Abdullah [11899] , 'Amr bin Dinar [11081] , 'Amr bin Dinar al-Basri [14291] , Nafie' [11014] , Musa bin 'Uqba [11106] , Muhammad bin Wasi' bin Jabir [10715],,,,,,,,Tafsir/Quran, Narrator,,,,Quraish [Quraish] , B.'Adi [B.'Adi] , Madni [Madni] , Imam [Imam],,,,,,,,,,,,,,,,,,,,,,,
2372,11013,al-Zuhri ,Follower(Tabi') [4th generation],51 AH/671 CE (Medinah),124 AH/741 CE (Medinah)[ Natural ],Medinah,"['51 AH', '671 CE']",51,671,124,741,Medinah,Natural,Muslim b. 'Ubaidullah b. 'Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,'Abdullah bin Muslim bin 'Ubaidullah [11872],,,,,,,,,,,Medinah, Syria,,,,ibn Umar [18] , 'Abdullah ibn Ja'far [108] , Rabi'yah bin 'Aabad al-D'ila [6156] , al-Miswar bin Makhrama bin Nawfal [2201] , 'Abdur Rahman bin Azhar bin 'Abd 'Awf [2216] , 'Abdullah bin 'Amir bin Rabi'a [709] , Sahl bin Sa'd bin Malik [399] , Anas bin Malik [19] , Jabir ibn 'Abdullah [34] , Abu al-Tufayl, 'Amir bin Wathla [3660] , al-Sa'ib bin Yazid bin Akht Namr [3048] , Mahmud bin al-Rabi' bin Saraqa [5278] , Mahmud bin Labid bin 'Uqba [1830] , Tha'laba bin Abi Malik [5004] , Sanin Abu Jamila [5079] , Abu Umama bin Sahl [405] , Qubaysa bin Zuwayb [5232] , Malik bin Aws bin al-Hadathan [5030] , Abu Idrees al-Khulani [11027] , 'Abdullah ibn al-Harith ibn Nawfal [912] , Ibrahim bin 'Abdullah [11150] , 'Amir bin Sa'd ibn Abi Waqqas [10554] , Isma'il bin Muhammad bin Sa'd [11500] ,'Ata' bin Abi Rabah [11029] , Muhammad bin Muslim bin Tadras [11263] , 'Umar bin ,,,,,,,,,,,,,,,,,,,,,,Tafsir/Quran, Hadith, Fiqh, Narrator,,Quraish [Quraish] , B.Zuhrah [B.Zuhrah] , Madni [Madni] , Imam [Imam] , Hafiz [Hafiz],,,,,,,,,,,,,,,,,,,,,,
2373,11014,Nafie' ,Follower(Tabi') [3rd Generation],~30 AH (Medinah),117 or 119 AH (Medinah)[ Natural ],Medinah,['30 AH'],30,,119,,Medinah,Natural,,,,,,,,,,,,,,,'Umar bin Naf' al-Dwy [11713] , Abu Bakr bin Nafi' al-'Adwi, The Client [20523] , 'Abdullah bin Nafi' al-'Advi [22109],,,,,,,,,,,,,,,,,,,,Medinah,,,,,ibn Abbas [17] , ibn Umar [18] , 'Aisha bint Abi Bakr [53] , Umm Salamah [56] , Abu Hurairah [13] , Abu Lubaba bin 'Abdul Mundhir [115] , Abu Sa'id al-Khudri [38] , Rafi' bin Khadij bin Rafi' [1986] , 'Abdullah bin 'Abdullah Ibn 'Umar [11814] , Zayd bin 'Abdullah bin 'Umar [11819] , Salim bin 'Abdullah bin 'Umar [11011] , 'Ubaidullah bin 'Abdullah bin 'Umar [11817] , al-Qasim ibn Muhammad [10535] , Safiyya bint Abi 'Ubaid al-Thaqafi [11811] ,  [2807] , Ibrahim bin 'Abdullah [11150] ,  [2807] , 'Abdullah bin Muhammad bin Abi Bakr [11516] , Sa'id bin Abi Hnd [11427] , al-Mughira bin Hakeem [10966],,,,,Abu Bakr bin Nafi' al-'Adwi, The Client [20523] , 'Abdullah bin Dinar [11183] , Salah bin Kaysan al-Madni [11176] , Yahya bin Sa'id al-Ansari [11062] , 'Abd Rabba bin Sa'id bin Qays bin 'Amr [11191] , Yonus bin 'Ubaid bin Dinar [11075] , Yazid bin Abi Habib [11411] , Abu Ishaq al-Sabay'ai' [11049] , al-Zuhri [11013] , Musa bin 'Uqba [11106] , Maymun bin Mahran [11012] , Muhammad bin Ajlan al-Madni [10616] , Ayoub al-Sakhtiyani [11015] , Jarir bin Hazim bin Zayd [11272] , al-Hakam bin 'Utayba [11069] , Sa'd bin Ibrahim [11063] , 'Abdullah bin Sa'id bin Abi Hind [11184] , 'Ubaidullah bin 'Umar bin Hafs [11201] , 'Abdullah bin 'Umar bin Hafs bin 'Asim [20507] , Ibn Jurayj [11070] , 'Abdur Rahman bin 'Amr al-Awza'i [20024] , Ibn Ishaq [11107] , 'Abdul al-Kareem bin Malik [18655] ,Narrator,,,,,Client [Client] , Imam [Imam] , Mufti [Mufti] , Madni [Madni],,,,,,,,,,,,,,,,,,,,,,,
2374,11015,Ayoub al-Sakhtiyani ,Follower(Tabi') [5th generation],66 or 68 AH (Basra),131 AH (Basra)[ Natural ],Basra,['68 AH'],68,,131,,Basra,Natural,,,,,,,,,,,,,,,Bakr,,,,,,,,,,,,,,,,,,,,,,,Basra, Hijaz,,,,'Amr bin Salmah bin Qays [5206] , Hameed bin Hilal [11281] , Abu Qalaba, 'Abdullah bin Zayd al-Jarmi [11047] , al-Qasim ibn Muhammad [10535] , 'Abdur Rahman bin al-Qasim [10530] , Naf' bin 'Asim bin 'Urwa [13128] , 'Ata' bin Abi Rabah [11029] , 'Ikrama [11023] , 'Abdur Rahman bin Harmaz al-A'araj [11197] , 'Amr bin Dinar [11081] , 'Imran bin Milhan, Abu Raja' al-Atardi [11440] , Abu 'Uthman al-Nahdi [11113] , Hafsa bint Sirin [11039] , Mu'adhah bint 'Abdullah [11456],,,,,,,,,Sulaiman al-A'mash [11060] , Qatada [11019] , (His Shaikh), Hammad bin Salama [20021] , Hammad bin Zayd [20022] , Sufyan bin Sa,,,,,,,,,,,,,,,,,,,Narrator,,,,,Imam [Imam] , Hafiz [Hafiz] , Basri [Basri],,,,,,,,,,,,,,,,,,,,,,,,
2375,11017,'Alqama bin Qays ,Follower(Tabi') [2nd Generation],~10 AH (Hijaz),60 AH/70 AH or after (Kufa)[ Natural ],Hijaz,['10 AH'],10,,60,,Kufa,Natural,Qays bin 'Abdullah bin Malik,,,,,,,,,,,,,,,,,,,,,,,,,,Mulayka bint Qays,,,,,,,,,,,Hijaz,  al-Kufa,,,,'Umar ibn al-Khattab [3] , 'Uthman ibn 'Affaan [4] , Ali ibn Abi Talib [5] , Sa'd ibn Abi Waqqas [9] , Hudhayfah ibn al-Yaman [145] , Abu al-Darda [37] , ibn Mas'ud [16] , Abu Mas'ud al-Badri [402] , Abu Musa al-Asha'ari [41] , Nu'man bin Malik [148] , Khalid bin al-Walid [22] , Salmah bin Yazid bin Mashj'a [6192] , Ma'qil bin Sinan al-Ashja'i [3050] , 'Aisha bint Abi Bakr [53] , Others,,,,,,,,,,'Abdur Rahman bin Yazid al-Nakha'i [11055] , Ibrahim al-Nakha'i [11051] , Ibrahim bin Suwayd al-Nkh'y [10887] , 'Amir al-Sha'bi [11052] , Abu al-Rqad [15672] , Shaqayq bin Salmah al-Asadi [11353] , Salmah bin Kahayl al-Hadrami [11350] , Hny bin Nwyrh al-Dby al-Kwfy [15589] , Qays bin Rwmy [18866] , al-Qasim bin Mukhaymara [10812] , Abu Ishaq al-Sabay'ai' [11049] , Muslim bin Sabih al-Hamdani, Abu al-Daha [11392],,,,,,,,,,,,Narrator,,,,,al-Nakha'i [al-Nakha'i] , Kufi [Kufi] , Imam [Imam] , Hafiz [Hafiz],,,,,,,,,,,,,,,,,,,,,,,
2376,11019,Qatada ,Follower(Tabi') [4th generation],~60 AH (Basra),~117 AH (Basra)[ Natural ],Basra,['60 AH'],60,,117,,Basra,Natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basra, Medina,,,,Anas bin Malik [19] , 'Abdullah bin Sarjis al-Mazni [3245] , Abu al-Tufayl, 'Amir bin Wathla [3660] , Safiyya bint Shayba bin 'Uthman [2802] , ,,,,,,,,,,,,,,,,,,,Ayoub al-Sakhtiyani [11015] , Sulaiman bin Tarkhan al-Taymi [11289] , Jarir bin Hazim bin Zayd [11272] , Shu'bah bin al-Hajjaj [20020] , Mas'ar bin Kadam [20359] , Yazid bin Ibrahim al-Tstry [20303] , Yonus bin Abi al-Farat al-Askaf [11616] , Muhammad bin Sulaym [19857] , Hisham bin Abi 'Abdullah al-Dastawa'i [20295] , Matr bin Tahman al-Waraq [10719] , Hmam bin Yahya bin Dinar [20297] , 'Amr bin al-Harith bin Ya'qub [20377] , Ma'mar bin Rashid [20115] , Shayban bin 'Abdur Rahman [20240] , Salam bin Abi Mut'ia [20550] , Sa'id bin Abi 'Aruba [11073] , Aban bin Yazid al-Tar [20205] , al-Husain bin Dhakwan al-Mua'lam [11278] , Hammad bin Salama [20021] , 'Abdur Rahman bin 'Amr al-Awza'i [20024] , 'Umar bin Ibrahim al-Bdy [24326] , 'Imran bin Da'ud al-'Ami Abu al-'Awwam [20718] , Qurrah bin Khalid al-Sadusi [11301] , Mnswr bin Zadhan [11444] ,Narrator,,,,,al-Sadusi [al-Sadusi] , al-Basri [al-Basri] , Hafiz [Hafiz],,,,,,,,,,,,,,,,,,,,,,,,
